Date,Views,Watch time (hours),Average view duration
Total,4883,229.714,0:02:49
2023-12-31,6,0.8674,0:08:40
2023-12-30,23,0.8288,0:02:09
2023-12-29,5,0.1683,0:02:01
2023-12-28,17,1.0546,0:03:43
2023-12-27,12,0.5092,0:02:32
2023-12-26,33,1.4073,0:02:33
2023-12-25,18,0.4253,0:01:25
2023-12-24,22,0.3569,0:00:58
2023-12-23,33,0.911,0:01:39
2023-12-22,22,1.4765,0:04:01
2023-12-21,15,0.8612,0:03:26
2023-12-20,24,0.2693,0:00:40
2023-12-19,17,0.7436,0:02:37
2023-12-18,21,1.195,0:03:24
2023-12-17,28,0.6861,0:01:28
2023-12-16,40,1.303,0:01:57
2023-12-15,4,0.2563,0:03:50
2023-12-14,28,1.4339,0:03:04
2023-12-13,41,1.0139,0:01:29
2023-12-12,53,0.9336,0:01:03
2023-12-11,24,0.8554,0:02:08
2023-12-10,28,0.6001,0:01:17
2023-12-09,11,0.6378,0:03:28
2023-12-08,9,0.1002,0:00:40
2023-12-07,19,0.5057,0:01:35
2023-12-06,14,0.3728,0:01:35
2023-12-05,22,0.6478,0:01:46
2023-12-04,20,0.676,0:02:01
2023-12-03,45,0.973,0:01:17
2023-12-02,7,0.7834,0:06:42
2023-12-01,12,0.7289,0:03:38
2023-11-30,18,0.3879,0:01:17
2023-11-29,17,0.6666,0:02:21
2023-11-28,15,1.8307,0:07:19
2023-11-27,42,1.7519,0:02:30
2023-11-26,27,1.5731,0:03:29
2023-11-25,16,0.9335,0:03:30
2023-11-24,19,0.3919,0:01:14
2023-11-23,16,0.244,0:00:54
2023-11-22,17,0.5952,0:02:06
2023-11-21,14,0.23,0:00:59
2023-11-20,6,0.0695,0:00:41
2023-11-19,14,0.6063,0:02:35
2023-11-18,8,0.5235,0:03:55
2023-11-17,24,1.3971,0:03:29
2023-11-16,32,0.9125,0:01:42
2023-11-15,20,0.6238,0:01:52
2023-11-14,5,0.2706,0:03:14
2023-11-13,18,0.5062,0:01:41
2023-11-12,6,0.0601,0:00:36
2023-11-11,4,0.0228,0:00:20
2023-11-10,42,2.0085,0:02:52
2023-11-09,32,0.7748,0:01:27
2023-11-08,24,1.4801,0:03:42
2023-11-07,8,0.5541,0:04:09
2023-11-06,20,0.7638,0:02:17
2023-11-05,30,2.0004,0:04:00
2023-11-04,4,0.033,0:00:29
2023-11-03,14,0.6598,0:02:49
2023-11-02,16,0.749,0:02:48
2023-11-01,42,0.9007,0:01:17
2023-10-31,17,1.2363,0:04:21
2023-10-30,29,0.7356,0:01:31
2023-10-29,10,0.6013,0:03:36
2023-10-28,6,0.2456,0:02:27
2023-10-27,15,0.4844,0:01:56
2023-10-26,55,3.4994,0:03:49
2023-10-25,13,1.5888,0:07:19
2023-10-24,13,0.3231,0:01:29
2023-10-23,35,1.1907,0:02:02
2023-10-22,4,0.0146,0:00:13
2023-10-21,61,0.9092,0:00:53
2023-10-20,1,0.1559,0:09:21
2023-10-19,13,0.8462,0:03:54
2023-10-18,13,0.5185,0:02:23
2023-10-17,40,2.8945,0:04:20
2023-10-16,1,0.0141,0:00:50
2023-10-15,5,0.2119,0:02:32
2023-10-14,9,0.525,0:03:29
2023-10-13,20,0.8451,0:02:32
2023-10-12,33,1.7274,0:03:08
2023-10-11,21,1.035,0:02:57
2023-10-10,20,1.1373,0:03:24
2023-10-09,5,0.2897,0:03:28
2023-10-08,10,0.8793,0:05:16
2023-10-07,48,3.1738,0:03:58
2023-10-06,23,1.7112,0:04:27
2023-10-05,28,1.6495,0:03:32
2023-10-04,10,0.255,0:01:31
2023-10-03,1,0.0064,0:00:23
2023-10-02,14,0.1612,0:00:41
2023-10-01,4,0.0442,0:00:39
2023-09-30,7,0.2849,0:02:26
2023-09-29,5,0.1361,0:01:37
2023-09-28,3,0.0802,0:01:36
2023-09-27,6,0.0639,0:00:38
2023-09-26,11,0.0456,0:00:14
2023-09-25,9,0.6874,0:04:34
2023-09-24,3,0.0318,0:00:38
2023-09-23,1,0.0083,0:00:30
2023-09-21,9,0.1732,0:01:09
2023-09-20,17,0.9886,0:03:29
2023-09-19,5,0.1705,0:02:02
2023-09-18,12,0.7385,0:03:41
2023-09-17,7,0.6836,0:05:51
2023-09-16,3,0.0413,0:00:49
2023-09-15,5,0.0336,0:00:24
2023-09-14,11,0.6866,0:03:44
2023-09-13,2,0.1231,0:03:41
2023-09-12,5,0.1289,0:01:32
2023-09-11,8,0.2927,0:02:11
2023-09-10,3,0.1457,0:02:54
2023-09-09,2,0.0205,0:00:36
2023-09-08,16,0.3952,0:01:28
2023-09-07,4,0.0366,0:00:32
2023-09-06,18,0.8745,0:02:54
2023-09-05,8,0.1502,0:01:07
2023-09-04,6,0.2041,0:02:02
2023-09-03,15,0.5426,0:02:10
2023-09-02,2,0.0266,0:00:47
2023-09-01,9,1.1111,0:07:24
2023-08-31,27,1.461,0:03:14
2023-08-30,5,0.1637,0:01:57
2023-08-29,3,0.1988,0:03:58
2023-08-28,7,0.967,0:08:17
2023-08-27,26,2.1397,0:04:56
2023-08-26,16,0.5314,0:01:59
2023-08-25,9,0.4601,0:03:04
2023-08-24,21,1.7049,0:04:52
2023-08-23,14,1.0903,0:04:40
2023-08-22,14,0.7254,0:03:06
2023-08-21,1,0.0073,0:00:26
2023-08-20,2,0.0308,0:00:55
2023-08-19,2,0.085,0:02:32
2023-08-18,1,0.0157,0:00:56
2023-08-17,3,0.0224,0:00:26
2023-08-16,40,1.1798,0:01:46
2023-08-15,17,0.9536,0:03:21
2023-08-14,14,0.6437,0:02:45
2023-08-13,23,0.7822,0:02:02
2023-08-12,21,2.3695,0:06:46
2023-08-11,20,1.1396,0:03:25
2023-08-10,22,1.5116,0:04:07
2023-08-09,6,0.4296,0:04:17
2023-08-08,33,1.6371,0:02:58
2023-08-07,16,0.7334,0:02:45
2023-08-06,6,0.0902,0:00:54
2023-08-05,17,1.5016,0:05:17
2023-08-04,25,2.2952,0:05:30
2023-08-03,6,0.3011,0:03:00
2023-08-02,7,0.0905,0:00:46
2023-08-01,8,0.3125,0:02:20
2023-07-31,2,0.2753,0:08:15
2023-07-30,10,0.7023,0:04:12
2023-07-29,4,0.0825,0:01:14
2023-07-28,9,0.7425,0:04:57
2023-07-27,5,0.0984,0:01:10
2023-07-26,9,0.7298,0:04:51
2023-07-25,21,1.0009,0:02:51
2023-07-24,24,1.1012,0:02:45
2023-07-23,4,0.0854,0:01:16
2023-07-22,8,0.1858,0:01:23
2023-07-21,3,0.081,0:01:37
2023-07-20,16,0.6119,0:02:17
2023-07-19,12,0.4891,0:02:26
2023-07-18,13,0.4474,0:02:03
2023-07-17,6,0.6653,0:06:39
2023-07-16,3,0.008,0:00:09
2023-07-15,12,0.3514,0:01:45
2023-07-14,3,0.1972,0:03:56
2023-07-13,5,0.1973,0:02:22
2023-07-12,2,0.0385,0:01:09
2023-07-11,9,0.0724,0:00:28
2023-07-10,12,0.384,0:01:55
2023-07-09,5,0.2753,0:03:18
2023-07-08,10,0.5,0:03:00
2023-07-07,1,0.0103,0:00:37
2023-07-06,3,0.044,0:00:52
2023-07-05,4,0.0074,0:00:06
2023-07-03,1,0.0079,0:00:28
2023-07-02,3,0.0636,0:01:16
2023-07-01,5,0.0693,0:00:49
2023-06-30,7,0.0637,0:00:32
2023-06-29,20,1.0101,0:03:01
2023-06-28,3,0.1135,0:02:16
2023-06-27,9,0.797,0:05:18
2023-06-26,11,0.4871,0:02:39
2023-06-25,12,1.0275,0:05:08
2023-06-24,5,0.1214,0:01:27
2023-06-23,8,0.1876,0:01:24
2023-06-22,21,1.2711,0:03:37
2023-06-21,7,0.3137,0:02:41
2023-06-20,5,0.1678,0:02:00
2023-06-19,13,0.7496,0:03:27
2023-06-18,10,0.3851,0:02:18
2023-06-17,11,0.4144,0:02:15
2023-06-15,6,0.1507,0:01:30
2023-06-14,6,0.2066,0:02:03
2023-06-13,18,0.6562,0:02:11
2023-06-12,10,0.7156,0:04:17
2023-06-11,7,0.361,0:03:05
2023-06-10,1,0.0112,0:00:40
2023-06-09,9,0.4175,0:02:46
2023-06-08,6,0.3714,0:03:42
2023-06-07,6,0.058,0:00:34
2023-06-06,27,0.3593,0:00:47
2023-06-05,5,0.249,0:02:59
2023-06-04,8,0.1293,0:00:58
2023-06-03,4,0.0382,0:00:34
2023-06-02,9,0.4023,0:02:40
2023-06-01,2,0.0043,0:00:07
2023-05-31,27,1.3778,0:03:03
2023-05-30,9,0.529,0:03:31
2023-05-29,15,0.802,0:03:12
2023-05-28,13,0.2393,0:01:06
2023-05-27,2,0.0121,0:00:21
2023-05-26,5,0.0621,0:00:44
2023-05-25,2,0.1593,0:04:46
2023-05-24,2,0.0307,0:00:55
2023-05-23,4,0.0444,0:00:39
2023-05-22,5,0.0718,0:00:51
2023-05-21,11,0.7241,0:03:56
2023-05-20,6,0.0777,0:00:46
2023-05-19,6,0.3274,0:03:16
2023-05-18,6,0.2791,0:02:47
2023-05-17,6,0.3162,0:03:09
2023-05-16,8,0.5177,0:03:52
2023-05-15,15,1.1468,0:04:35
2023-05-14,2,0.2381,0:07:08
2023-05-13,1,0.008,0:00:28
2023-05-12,12,0.8019,0:04:00
2023-05-11,6,0.1848,0:01:50
2023-05-10,2,0.0303,0:00:54
2023-05-09,10,0.3679,0:02:12
2023-05-08,3,0.0502,0:01:00
2023-05-07,2,0.0269,0:00:48
2023-05-06,4,0.0367,0:00:33
2023-05-05,3,0.2871,0:05:44
2023-05-04,3,0.045,0:00:54
2023-05-03,3,0.0431,0:00:51
2023-05-02,1,0.0438,0:02:37
2023-05-01,15,0.5094,0:02:02
2023-04-30,13,1.355,0:06:15
2023-04-29,2,0.0071,0:00:12
2023-04-28,2,0.0942,0:02:49
2023-04-27,28,0.9025,0:01:56
2023-04-26,31,2.1276,0:04:07
2023-04-25,25,1.0202,0:02:26
2023-04-24,18,0.6503,0:02:10
2023-04-23,15,0.822,0:03:17
2023-04-22,12,0.6463,0:03:13
2023-04-21,3,0.0239,0:00:28
2023-04-20,8,0.4448,0:03:20
2023-04-19,10,0.3714,0:02:13
2023-04-18,6,0.0483,0:00:29
2023-04-17,8,0.1486,0:01:06
2023-04-16,10,0.4495,0:02:41
2023-04-15,22,1.2244,0:03:20
2023-04-14,30,0.8281,0:01:39
2023-04-13,4,0.035,0:00:31
2023-04-12,3,0.1725,0:03:26
2023-04-11,23,1.6632,0:04:20
2023-04-10,6,0.1293,0:01:17
2023-04-09,3,0.0546,0:01:05
2023-04-08,2,0.042,0:01:15
2023-04-07,4,0.255,0:03:49
2023-04-06,5,0.8759,0:10:30
2023-04-05,2,0.005,0:00:09
2023-04-04,12,0.2879,0:01:26
2023-04-02,19,0.5626,0:01:46
2023-04-01,14,0.7379,0:03:09
2023-03-31,15,0.7215,0:02:53
2023-03-30,21,1.9848,0:05:40
2023-03-29,20,1.8753,0:05:37
2023-03-28,13,0.5617,0:02:35
2023-03-27,18,0.8086,0:02:41
2023-03-26,12,0.4424,0:02:12
2023-03-24,3,0.0888,0:01:46
2023-03-23,14,0.5073,0:02:10
2023-03-22,6,0.3901,0:03:54
2023-03-21,2,0.5647,0:16:56
2023-03-20,2,0.0221,0:00:39
2023-03-19,52,0.9069,0:01:02
2023-03-18,4,0.238,0:03:34
2023-03-17,3,0.2739,0:05:28
2023-03-16,8,0.2051,0:01:32
2023-03-15,15,0.8363,0:03:20
2023-03-14,5,0.4523,0:05:25
2023-03-13,9,0.292,0:01:56
2023-03-12,3,0.1246,0:02:29
2023-03-11,8,0.1109,0:00:49
2023-03-10,10,0.5434,0:03:15
2023-03-09,17,1.4113,0:04:58
2023-03-08,11,0.6391,0:03:29
2023-03-07,25,0.4847,0:01:09
2023-03-06,15,0.9915,0:03:57
2023-03-05,28,1.3057,0:02:47
2023-03-04,17,0.5642,0:01:59
2023-03-03,22,0.5884,0:01:36
2023-03-02,1,0.0006,0:00:02
2023-03-01,21,0.6583,0:01:52
2023-02-28,34,2.1835,0:03:51
2023-02-27,25,2.6114,0:06:16
2023-02-26,16,0.8564,0:03:12
2023-02-25,27,1.5691,0:03:29
2023-02-24,15,1.0047,0:04:01
2023-02-23,31,1.5399,0:02:58
2023-02-22,27,1.1316,0:02:30
2023-02-21,9,0.3985,0:02:39
2023-02-20,4,0.5391,0:08:05
2023-02-18,15,1.1024,0:04:24
2023-02-17,12,0.8836,0:04:25
2023-02-16,10,0.1055,0:00:37
2023-02-15,10,0.5233,0:03:08
2023-02-14,22,1.4563,0:03:58
2023-02-13,21,0.7084,0:02:01
2023-02-12,25,1.3458,0:03:13
2023-02-11,18,1.2803,0:04:16
2023-02-10,13,0.2349,0:01:05
2023-02-09,10,0.5409,0:03:14
2023-02-08,17,1.1379,0:04:00
2023-02-07,3,0.0097,0:00:11
2023-02-06,13,0.7821,0:03:36
2023-02-05,8,1.3258,0:09:56
2023-02-04,9,0.4625,0:03:05
2023-02-03,13,0.947,0:04:22
2023-02-02,11,0.6434,0:03:30
2023-02-01,4,0.3288,0:04:55
2023-01-31,10,0.5918,0:03:33
2023-01-30,15,0.4979,0:01:59
2023-01-29,17,0.6497,0:02:17
2023-01-28,20,1.6833,0:05:02
2023-01-27,25,1.1403,0:02:44
2023-01-26,16,0.3937,0:01:28
2023-01-25,25,1.3563,0:03:15
2023-01-24,22,0.8821,0:02:24
2023-01-23,37,0.4973,0:00:48
2023-01-22,17,1.0793,0:03:48
2023-01-21,5,0.2562,0:03:04
2023-01-20,44,2.1371,0:02:54
2023-01-19,30,1.1478,0:02:17
2023-01-18,13,0.9091,0:04:11
2023-01-17,23,2.6413,0:06:53
2023-01-16,16,0.671,0:02:30
2023-01-15,18,1.173,0:03:54
2023-01-14,21,0.7623,0:02:10
2023-01-13,16,1.4797,0:05:32
2023-01-12,14,0.5435,0:02:19
2023-01-11,11,0.8395,0:04:34
2023-01-10,6,0.094,0:00:56
2023-01-09,5,0.1545,0:01:51
2023-01-08,5,0.0165,0:00:11
2023-01-07,23,1.0997,0:02:52
2023-01-06,7,0.0478,0:00:24
2023-01-05,24,1.0658,0:02:39
2023-01-04,5,0.5149,0:06:10
2023-01-03,29,1.7787,0:03:40
2023-01-02,19,1.6123,0:05:05
2023-01-01,20,1.114,0:03:20
